index,Year,Period,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Value,CV (%)
0,2012,END OF DEC,ALABAMA,1,BLACK BELT,40,AUTAUGA,1.0,119,27.7
1,2012,END OF DEC,ALABAMA,1,BLACK BELT,40,DALLAS,47.0,65,27.7
2,2012,END OF DEC,ALABAMA,1,BLACK BELT,40,ELMORE,51.0,190,27.7
3,2012,END OF DEC,ALABAMA,1,BLACK BELT,40,GREENE,63.0,14,27.7
4,2012,END OF DEC,ALABAMA,1,BLACK BELT,40,HALE,65.0,10,27.7
5,2012,END OF DEC,ALABAMA,1,BLACK BELT,40,LOWNDES,85.0, (D),(D)
6,2012,END OF DEC,ALABAMA,1,BLACK BELT,40,MACON,87.0,22,27.7
7,2012,END OF DEC,ALABAMA,1,BLACK BELT,40,MARENGO,91.0, (D),(D)
8,2012,END OF DEC,ALABAMA,1,BLACK BELT,40,MONTGOMERY,101.0, (D),(D)
9,2012,END OF DEC,ALABAMA,1,BLACK BELT,40,PERRY,105.0, (D),(D)
10,2012,END OF DEC,ALABAMA,1,BLACK BELT,40,SUMTER,119.0,46,27.7
11,2012,END OF DEC,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BALDWIN,3.0,256,27.7
12,2012,END OF DEC,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BUTLER,13.0,147,27.7
13,2012,END OF DEC,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CHOCTAW,23.0,63,27.7
14,2012,END OF DEC,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CLARKE,25.0,45,27.7
15,2012,END OF DEC,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CONECUH,35.0,10,27.7
16,2012,END OF DEC,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,ESCAMBIA,53.0,77,27.7
17,2012,END OF DEC,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MOBILE,97.0,721,27.7
18,2012,END OF DEC,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MONROE,99.0,90,27.7
19,2012,END OF DEC,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WASHINGTON,129.0, (D),(D)
20,2012,END OF DEC,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,BLOUNT,9.0,470,27.7
21,2012,END OF DEC,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CALHOUN,15.0,207,27.7
22,2012,END OF DEC,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CHEROKEE,19.0,70,27.7
23,2012,END OF DEC,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CLEBURNE,29.0,128,27.7
